统计时间,输入病例,大陆新增确诊人数,全国新增确诊人数,死亡人数,死亡率,治愈人数,治愈率
03.06,113,214,19271,233,1.2,806,4.2
03.07,150,175,6089,280,4.6,498,8.2
03.08,104,233,15154,291,1.9,959,6.3
03.09,126,402,12384,291,2.3,933,7.5
03.10,158,397,8115,281,3.5,1020,12.6
03.11,112,476,5759,294,5.1,1028,17.9
03.12,131,1807,5791,285,4.9,1129,19.5
03.13,100,1337,5944,264,4.4,876,14.7
03.14,95,3507,7701,286,3.7,524,6.8
03.15,92,1860,5467,289,5.3,1061,19.4
03.16,91,1226,4653,279,6.0,1305,28.0
03.17,73,2388,4654,289,6.2,1449,31.1
03.18,71,2157,4163,267,6.4,1688,40.5
03.19,81,1656,3551,249,7.0,1521,42.8
03.20,80,1947,3423,246,7.2,1467,42.9
03.21,57,2281,3563,223,6.3,980,27.5
03.22,76,2591,3813,245,6.4,1938,50.8
03.23,44,2010,3218,205,6.4,2362,73.4
03.24,65,1301,3204,201,6.3,2111,65.9
03.25,55,1280,2093,192,9.2,2310,110.4
03.26,37,1217,2121,139,6.6,2446,115.3
03.27,56,1219,2164,151,7.0,1925,89.0
03.28,65,1228,2022,168,8.3,1591,78.7
03.29,64,1565,2164,151,7.0,2578,119.1
03.30,36,1803,2666,135,5.1,2872,107.7
03.31,40,1787,2593,119,4.6,2536,97.8
04.01,43,2086,14288,120,0.8,5781,40.5
04.02,51,1455,8570,116,1.4,3907,45.6
04.03,39,1366,2163,111,5.1,2719,125.7
04.04,62,1173,1954,90,4.6,2281,116.7
04.05,32,1383,2263,87,3.8,3357,148.3
04.06,39,1284,2097,111,5.3,2420,115.4
04.07,36,1540,3096,97,3.1,3358,108.5
04.09,33,1318,2049,63,3.1,3491,170.4
04.10,20,1164,2009,65,3.2,2256,112.3
04.11,21,1251,2097,65,3.1,2554,121.8
04.12,13,1500,3048,116,3.8,3468,113.8
04.13,21,2999,4009,62,1.5,3568,89.0
04.14,14,3472,4547,54,1.2,2937,64.6
04.15,29,3867,5451,67,1.2,4529,83.1
04.16,25,3504,4944,41,0.8,2408,48.7
04.17,19,2723,4305,32,0.7,2284,53.1
04.18,19,3297,5186,27,0.5,2320,44.7
04.19,8,2753,4582,26,0.6,2962,64.6
04.20,11,2830,5616,18,0.3,3056,54.4
04.21,14,2119,5309,37,0.7,2387,45.0
04.22,17,2971,7030,27,0.4,3371,48.0
04.23,14,1566,23314,48,0.2,2904,12.5
04.24,14,2666,8923,64,0.7,3151,35.3
04.25,15,1908,7259,70,1.0,2385,32.9
04.26,6,1818,8251,55,0.7,-6587,0.0
04.27,9,1494,10561,57,0.5,2935,27.8
04.28,13,5646,18157,69,0.4,3165,17.4
04.29,14,1410,13842,47,0.3,3639,26.3
04.30,4,916,16121,51,0.3,3635,22.5
05.01,4,827,17973,45,0.3,4850,27.0
05.02,16,368,18285,28,0.2,4428,24.2
05.03,9,353,23603,28,0.1,2167,9.2
05.04,13,360,28951,21,0.1,2287,7.9
05.05,18,356,30473,22,0.1,1745,5.7
