统计时间,地区,省内地区,现有确诊人数,累计确诊人数,累计死亡人数,累计治愈人数
2022/05/07,香港,地区待确认,261718,331181,9344,60119
2022/05/07,台湾,地区待确认,253931,268569,896,13742
2022/05/06,上海,浦东,2171,16820,1,14648
2022/05/06,上海,黄浦,2163,6222,0,4059
2022/05/06,上海,徐汇,1960,4515,1,2554
2022/05/06,上海,静安,1232,2907,1,1674
2022/05/06,上海,虹口,1167,3380,0,2213
2022/05/06,上海,闵行,1116,5259,0,4143
2022/05/06,上海,杨浦,964,1880,0,916
2022/05/06,上海,宝山,888,2832,1,1943
2022/05/06,上海,长宁,803,2377,0,1574
2022/05/06,上海,普陀,596,1737,0,1141
2022/05/06,上海,青浦,300,1287,0,987
2022/05/06,上海,崇明,208,383,0,175
2022/05/06,上海,松江,168,2887,0,2719
2022/05/06,上海,奉贤,86,230,0,144
2022/05/06,上海,嘉定,73,2361,2,2286
2022/05/06,上海,境外输入,11,4590,0,4579
2022/05/06,上海,金山,6,332,0,326
2022/05/06,上海,境外来沪,0,1,0,1
2022/05/06,上海,外地来沪,0,113,1,112
2022/05/06,上海,地区待确认,-5192,0,515,4677
2022/05/06,浙江,境外输入,219,593,0,374
2022/05/06,浙江,杭州,201,529,0,328
2022/05/06,浙江,嘉兴,127,173,0,46
2022/05/06,浙江,衢州,94,116,0,22
2022/05/06,浙江,金华,85,142,0,57
2022/05/06,浙江,宁波,61,330,0,269
2022/05/06,浙江,湖州,27,37,0,10
2022/05/06,浙江,绍兴,19,449,0,430
2022/05/06,浙江,舟山,18,28,0,10
2022/05/06,浙江,温州,16,520,1,503
2022/05/06,浙江,丽水,5,22,0,17
2022/05/06,浙江,台州,2,149,0,147
2022/05/06,浙江,省十里丰监狱,0,36,0,36
2022/05/06,浙江,地区待确认,-320,0,0,320
2022/05/06,吉林,长春,1104,25170,0,24066
2022/05/06,吉林,境外输入,38,73,0,35
2022/05/06,吉林,四平,7,244,1,236
2022/05/06,吉林,延边,4,170,0,166
2022/05/06,吉林,白城,4,145,0,141
2022/05/06,吉林,辽源,0,9,0,9
2022/05/06,吉林,梅河口市,0,1,0,1
2022/05/06,吉林,白山,0,11,0,11
2022/05/06,吉林,松原,0,18,0,18
2022/05/06,吉林,通化,0,313,1,312
2022/05/06,吉林,吉林,-207,14097,1,14303
2022/05/06,吉林,待确认,-445,0,2,443
2022/05/06,北京,朝阳,356,377,0,21
2022/05/06,北京,丰台,164,401,0,237
2022/05/06,北京,境外输入,154,711,0,557
2022/05/06,北京,房山,139,151,0,12
2022/05/06,北京,海淀,109,135,0,26
2022/05/06,北京,通州,68,80,9,3
2022/05/06,北京,西城,64,70,0,6
2022/05/06,北京,大兴,46,157,0,111
2022/05/06,北京,东城,43,49,0,6
2022/05/06,北京,顺义,33,78,0,45
2022/05/06,北京,昌平,31,81,0,50
2022/05/06,北京,外地来京,23,25,0,2
2022/05/06,北京,石景山,15,27,0,12
2022/05/06,北京,门头沟,4,8,0,4
2022/05/06,北京,涉奥闭环人员,4,4,0,0
2022/05/06,北京,经济开发区,4,4,0,0
2022/05/06,北京,延庆,2,2,0,0
2022/05/06,北京,密云,2,9,0,7
2022/05/06,北京,平谷区,0,0,0,0
2022/05/06,北京,怀柔,0,8,0,8
2022/05/06,北京,地区待确认,-759,10,0,769
2022/05/06,广东,深圳,603,1384,3,778
2022/05/06,广东,广州,317,927,1,609
2022/05/06,广东,珠海,30,146,1,115
2022/05/06,广东,境外输入,18,3850,0,3832
2022/05/06,广东,中山,11,82,0,71
2022/05/06,广东,惠州,8,70,0,62
2022/05/06,广东,肇庆,8,27,1,18
2022/05/06,广东,茂名,7,21,0,14
2022/05/06,广东,云浮,7,7,0,0
2022/05/06,广东,江门,5,28,0,23
2022/05/06,广东,佛山,4,105,0,101
2022/05/06,广东,湛江,3,26,0,23
2022/05/06,广东,韶关,2,12,1,9
2022/05/06,广东,汕尾,2,8,0,6
2022/05/06,广东,河源,2,7,0,5
2022/05/06,广东,梅州,1,18,0,17
2022/05/06,广东,阳江,1,15,0,14
2022/05/06,广东,汕头,1,26,0,25
2022/05/06,广东,清远,0,12,0,12
2022/05/06,广东,揭阳,0,10,0,10
2022/05/06,广东,东莞,0,348,1,347
2022/05/06,广东,潮州,0,5,0,5
2022/05/06,广东,地区待确认,-854,0,0,854
2022/05/06,江西,上饶,121,328,0,207
2022/05/06,江西,南昌,23,455,0,432
2022/05/06,江西,境外输入,1,14,0,13
2022/05/06,江西,赣州,1,76,1,74
2022/05/06,江西,九江,0,121,0,121
2022/05/06,江西,抚州,0,73,0,73
2022/05/06,江西,萍乡,0,33,0,33
2022/05/06,江西,新余,0,129,0,129
2022/05/06,江西,吉安,0,23,0,23
2022/05/06,江西,景德镇,0,6,0,6
2022/05/06,江西,赣江新区,0,1,0,1
2022/05/06,江西,宜春,0,106,0,106
2022/05/06,江西,鹰潭,0,18,0,18
2022/05/06,黑龙江,哈尔滨,132,1340,4,1204
2022/05/06,黑龙江,牡丹江,8,100,0,92
2022/05/06,黑龙江,境外输入,4,435,0,431
2022/05/06,黑龙江,鹤岗,0,5,0,5
2022/05/06,黑龙江,地区待确认,0,2,0,2
2022/05/06,黑龙江,伊春,0,1,0,1
2022/05/06,黑龙江,大兴安岭,0,3,0,3
2022/05/06,黑龙江,双鸭山,0,52,3,49
2022/05/06,黑龙江,七台河,0,18,0,18
2022/05/06,黑龙江,大庆,0,37,1,36
2022/05/06,黑龙江,绥化,0,539,4,535
2022/05/06,黑龙江,黑河,0,297,0,297
2022/05/06,黑龙江,鸡西,0,52,0,52
2022/05/06,黑龙江,佳木斯,0,56,0,56
2022/05/06,黑龙江,齐齐哈尔,0,45,1,44
2022/05/06,河南,周口,81,182,1,100
2022/05/06,河南,郑州,44,532,5,483
2022/05/06,河南,安阳,33,555,0,522
2022/05/06,河南,许昌,30,435,1,404
2022/05/06,河南,信阳,10,287,2,275
2022/05/06,河南,濮阳,9,26,0,17
2022/05/06,河南,漯河,8,44,0,36
2022/05/07,河南,开封,6,39,0,33
2022/05/06,河南,洛阳,4,45,1,40
2022/05/06,河南,商丘,2,111,3,106
2022/05/06,河南,境外输入,1,211,0,210
2022/05/07,河南,平顶山,1,60,1,58
2022/05/06,河南,三门峡,0,8,1,7
2022/05/06,河南,焦作,0,46,1,45
2022/05/06,河南,新乡,0,57,3,54
2022/05/06,河南,驻马店,0,143,0,143
2022/05/06,河南,鹤壁,0,19,0,19
2022/05/06,河南,济源示范区,0,5,0,5
2022/05/06,河南,南阳,0,156,3,153
2022/05/06,河南,地区待确认,-150,0,0,150
2022/05/06,四川,成都,68,319,3,248
2022/05/06,四川,境外输入,52,1317,0,1265
2022/05/06,四川,巴中,8,32,0,24
2022/05/06,四川,乐山,4,12,0,8
2022/05/06,四川,达州,2,44,0,42
2022/05/06,四川,广安,2,33,0,31
2022/05/06,四川,德阳,1,20,0,19
2022/05/06,四川,遂宁,1,22,0,21
2022/05/06,四川,阿坝,0,1,0,1
2022/05/06,四川,甘孜,0,78,0,78
2022/05/06,四川,攀枝花,0,16,0,16
2022/05/06,四川,内江,0,22,0,22
2022/05/06,四川,南充,0,39,0,39
2022/05/06,四川,绵阳,0,23,0,23
2022/05/06,四川,宜宾,0,13,0,13
2022/05/06,四川,自贡,0,10,0,10
2022/05/06,四川,泸州,0,25,0,25
2022/05/06,四川,广元,0,6,0,6
2022/05/06,四川,眉山,0,9,0,9
2022/05/06,四川,资阳,0,4,0,4
2022/05/06,四川,雅安,0,8,0,8
2022/05/06,四川,凉山,0,13,0,13
2022/05/06,四川,地区待确认,-69,0,0,69
2022/05/06,山东,济南,46,134,0,88
2022/05/06,山东,德州,6,118,2,110
2022/05/06,山东,烟台,5,91,0,86
2022/05/06,山东,日照,4,37,0,33
2022/05/06,山东,临沂,4,66,0,62
2022/05/06,山东,境外输入,4,441,0,437
